photo_num|mag_number|description|date|photographer
21511|141|SEP transmitter - stereo companion to 21510||JSC scan
21512|141|Station SEP / partial pan / LM / Cernan on Rover||JSC scan
21513|141|Station SEP / partial pan / LM / Cernan on Rover||JSC scan
21514|141|(description not yet available)||JSC scan
21533|141|LRV traverse / Station SEP to Station 6||JSC scan
21550|141|LRV traverse / Station SEP to Station 6||JSC scan
21568|141|photo from LRV during traverse to Station 6||JSC scan
21576|141|Station 6 / LRV tracks||JSC scan
21596|141|Station 6 pan frame - East Massif in b.g.||JSC scan
21597|141|Station 6 pan frame / LRV||JSC scan
21598|141|Station 6 pan frame / Cernan at LRV removing TGE||JSC scan
21599|141|Station 6 pan frame / Cernan at LRV / Henry Crater in b.g.||JSC scan
21605|141|(description not yet available)||JSC scan
21607|141|Station 6 / samples 6015 & 6215 / LRV||JSC scan
21608|141|Station 6 / various samples / astronaut||JSC scan
21610|141|(description not yet available)||JSC scan
21692|142|LRV traverse to station 8||JSC scan
21693|142|LRV traverse to station 8||JSC scan
21702|142|distant photo of LRV and astronaut (out of focus)||JSC scan
21714|142|Station 8 samples / tongs / astronaut||JSC scan
21728|142|Staiton 8 pan frame / LRV tracks||JSC scan
21730|142|Station 8 pan frame / Cernan / scoop / LRV||JSC scan
21741|142|Station 8 pan frame||JSC scan
21752|142|LRV traverse / Station 8 to Staiton 9||JSC scan
21767|142|LRV traverse / Station 8 to Staiton 9||JSC scan
21779|142|(description not yet available)||JSC scan
21791|142|samples at Station 8 / Cernan||JSC scan
21802|142|Station 9 / pan||JSC scan
21803|142|Station 9 / pan||JSC scan
21804|142|Station 9 / pan / sample bag dispenser||JSC scan
21805|142|Station 9 / pan||JSC scan
21806|142|Station 9 / pan / sample bag dispenser||JSC scan
21807|142|Station 9 / pan||JSC scan
21808|142|Station 9 / pan||JSC scan
21809|142|Station 9 / pan||JSC scan
21810|142|Station 9 / pan / bootprints||JSC scan
21811|142|Station 9 pan frame / Cernan||JSC scan
21812|142|Station 9 pan frame / Cernan||JSC scan
21817|142|Station 9 pan frame / LRV||JSC scan
21825|142|Location of Station 9 sample 9165. In the background, Cernan is taking the TGE off the Rover||JSC scan
21826|142|(description not yet available)||JSC scan
21836|143|(description not yet available)||JSC scan
21837|143|(description not yet available)||JSC scan
21856|143|Station 9 pan frame / LRV & Cernan||JSC scan
21857|143|Station 9 pan frame / LRV & Cernan||JSC scan
21924|143|(description not yet available)||JSC scan
21925|143|(description not yet available)||JSC scan
21933|143|LRV in final parking location||JSC scan
21936|143|Station SEP / seismic charge 3 / LM||JSC scan
21938|143|Jack Schmitt's hammer is seen in flight in this photo taken near the end of EVA 3||JSC scan
21939|143|Station LM pan frame - Hammer in flight||JSC scan
21940|143|Station LM pan frame - Hammer has just landed and has kicked up a spray of dust||JSC scan
21941|143|Schmitt stands beside the flag in what is likely the last photograph of an Apollo astronaut on the Moon||JSC scan
21944|143|view from LM window of ALSEP, Geophone Rock, and the geology hammer||JSC scan
21948|143|(description not yet available)||JSC scan
21970|143|view from LM window / discarded PLSS backpack||JSC scan
21991|144|Post-EVA-1 photo taken in the LM with the 500-mm lens. Boulder tracks on the North Massif||JSC scan
22016|144|Sta 2A / North Massif||JSC scan
22017|144|Sta 2A / North Massif||JSC scan
22018|144|Sta 2A / North Massif||JSC scan
22019|144|Sta 2A / North Massif||JSC scan
22020|144|Sta 2A / North Massif||JSC scan
22021|144|Sta 2A / North Massif||JSC scan
22022|144|Sta 2A / North Massif||JSC scan
22023|144|Sta 2A / North Massif||JSC scan
22024|144|Sta 2A / North Massif||JSC scan
22025|144|Sta 2A / North Massif||JSC scan
22026|144|Sta 2A / North Massif||JSC scan
22027|144|Sta 2A / North Massif||JSC scan
22028|144|Sta 2A / North Massif||JSC scan
22029|144|Sta 2A / North Massif||JSC scan
22030|144|Sta 2A / North Massif||JSC scan
22031|144|Sta 2A / North Massif||JSC scan
22032|144|Sta 2A / Sculptured Hills||JSC scan
22033|144|Sta 2A / Sculptured Hills||JSC scan
22034|144|Sta 2A / Sculptured Hills||JSC scan
22035|144|Sta 2A / Family Mt||JSC scan
22036|144|Station 2A / Family Mountain (500mm)||JSC scan
22037|144|Sta 2A / Family Mt||JSC scan
22038|144|Sta 2A / Family Mt||JSC scan
22039|144|Station 2A / Family Mountain (500mm)||JSC scan
22040|144|Sta 2A / Family Mt||JSC scan
22041|144|Sta 2A / Family Mt||JSC scan
22042|144|Sta 2A / Family Mt||JSC scan
22043|144|Station 2A / Family Mountain (500mm)||JSC scan
22044|144|Station 2A / Family Mountain (500mm)||JSC scan
22045|144|Station 2A / Family Mountain (500mm)||JSC scan
22056|144|Station 3 / South Massif (500mm)||JSC scan
22157|145|Schmitt collects a soil sample on the south side of the rim boulders at Station 5||JSC scan
22159|145|Station 5 pan frame - large boulders on the rim of Camelot, with Wessex Cleft in the background||JSC scan
22160|145|Station 5 pan frame - Sculptured Hills||JSC scan
22161|145|Station 5 pan frame - LRV, Sculptured Hills, and East Massif||JSC scan
22162|145|Station 5 pan frame - LRV||JSC scan
22163|145|Station 5 pan frame - East Massif||JSC scan
22164|145|Station 5 pan frame - East Massif. Bear Mountain||JSC scan
22165|145|Station 5 pan frame - Schmitt running back to the Rover, carrying scoop in his left hand||JSC scan
22166|145|Station 5 pan frame - Bear Mountain||JSC scan
22167|145|Station 5 pan frame - South Massif||JSC scan
22168|145|Station 5 pan frame||JSC scan
22169|145|Station 5 pan frame||JSC scan
22170|145|Station 5 pan frame||JSC scan
22171|145|Station 5 pan frame - South Massif. (West) Family Mountain||JSC scan
22172|145|Station 5 pan frame||JSC scan
22173|145|Station 5 pan frame - Gnomon||JSC scan
22174|145|Station 5 pan frame||JSC scan
22175|145|Station 5 pan frame||JSC scan
22176|145|Station 5 pan frame||JSC scan
22177|145|Station 5 pan frame - North Massif||JSC scan
22178|145|Station 5 pan frame||JSC scan
22179|145|Station 5 pan frame||JSC scan
22180|145|Station 5 pan frame||JSC scan
22181|145|Station 5 pan frame - North Massif. Camelot Crater||JSC scan
22182|145|Station 5 pan frame||JSC scan
22183|145|Station 5 pan frame||JSC scan
22184|145|(description not yet available)||JSC scan
22196|145|pan frame from LM window with a discarded PLSS in view (dark regions are from LM window grid markings)||JSC scan
22197|145|pan frame from LM window - South Massif. Traverse Gravimeter (TGE).||JSC scan
22216|145|view of flag and lunar surface from LM window||JSC scan
22224|145|Gene Cernan in the LM||JSC scan
22257|145|"CSM ""America"" viewed from LM during rendezvous"||JSC scan
22261|145|CSM during rendezvous|14-Dec-72|JSC scan
22272|145|approaching CSM during docking||JSC scan
22294|146|Schmitt and LRV at Station 6|13-Dec-72|JSC scan
22296|146|Station 6 / LRV and Schmitt with gold visor raised||JSC scan
22343|146|Station 7 pan frame - Sculptured Hills||JSC scan
22345|146|Station 7 pan frame / Schmitt at Lunar Rover||JSC scan
22355|146|Station 7 pan frame||JSC scan
22364|146|Station 7 pan frame||JSC scan
22365|146|Station 8 / left image of stereo pair of sample 8135||JSC scan
22366|146|Station 8 / right image of stereo pair of sample 8135||JSC scan
22367|146|The Lunar Rover parked at Station 8||JSC scan
22368|146|Station 8 samples||JSC scan
22369|146|Station 8 / left image of stereo pair of samples 8235 & 8238||JSC scan
22370|146|Station 8 / right image of stereo pair of samples 8235 & 8238||JSC scan
22371|146|Station 8 samples & scoop||JSC scan
22379|146|Footprints made by Cernan retrieving a Station 8 sample,skipping out on the left and hopping back on the right||JSC scan
22381|146|East Massif from Station 8||JSC scan
22383|146|Station 8 pan frame - Bear Mountain. South Massif||JSC scan
22385|146|Station 8 pan frame||JSC scan
22387|146|Schmitt and LRV at Station 8. SWP Crater on the right||JSC scan
22389|146|LRV, Schmitt, South Massif, Scarp, (West) Family Mountain, (Old) Family Mountain partly hidden||JSC scan
22401|146|Station 8 samples||JSC scan
22402|146|Station 8 samples / LRV||JSC scan
22403|146|Station 8 samples||JSC scan
22413|146|Station 9 samples 911 / 9120 / 9135 / 9510||JSC scan
22414|146|Station 9 samples 911 / 9120 / 9135 / 9510||JSC scan
22415|146|Station 9 samples 911 / 9120 / 9135 / 9510||JSC scan
22416|146|Station 9 samples 911 / 9120 / 9135 / 9510||JSC scan
22417|146|Station 9 samples 911 / 9120 / 9135 / 9510||JSC scan
22418|146|Station 9 samples||JSC scan
22419|146|Station 9 samples 9175 & 9195||JSC scan
22420|146|Station 9 samples 9175 & 9195||JSC scan
22421|146|Station 9 samples 9175 & 9195||JSC scan
22422|146|Station 9 samples 9175 & 9195||JSC scan
22451|147|CSM viewed from LM||JSC scan
22456|147|CSM viewed from LM / W of Becvar||JSC scan
22463|147|CSM viewed from LM / Peirce C||JSC scan
22465|147|CSM and Taurus-Littrow landing site|10-Dec-72|JSC scan
22521|147|STA LM / CDR driving LM / LM quad 3||JSC scan
22522|147|STA LM / CDR driving LM / LM quad 3||JSC scan
22523|147|STA LM / CDR driving LM / LM quad 3||JSC scan
22524|147|STA LM / CDR driving LM / LM quad 3||JSC scan
22525|147|STA LM / CDR driving LM / LM quad 3||JSC scan
22526|147|Gene Cernan test-driving Lunar Rover|11-Dec-72|JSC scan
22527|147|Cernan test-driving the LRV near the LM||JSC scan
22550|147|STA ALSEP / central STA||JSC scan
22576|147|STA ALSEP / LRV||JSC scan
22580|147|"view of LM ""Challenger"" from ALSEP deployment site"||JSC scan
22598|147|STA ALSEP / pan / drill / CDR||JSC scan
22599|147|STA ALSEP / pan / drill / CDR||JSC scan
22602|147|STA ALSEP / pan / LRV||JSC scan
22661|148|cloud formations viewed from Earth orbit prior to TLI||
22685|148|view of Earth featuring Africa and Madagascar||
22695|148|view of LM in S-IVB adapter during transposition and docking||
22698|148|view of LM in S-IVB adapter during transposition and docking||JSC scan
22714|148|discarded S-IVB stage which later impacted on the Moon's surface||
22726|148|"""Full Earth"" photographed during lunar coast"||
22756|148|CSM viewed from LM||
22847|149|LM ascent stage returning from the Moon||
22848|149|The LM ascent stage approaches the CM||
22852|149|inspection view of LM during rendezvous (Jack Schmitt visible in left window)||JSC scan
22857|149|inspection view of LM during rendezvous||
22859|149|inspection view of LM during rendezvous (Gene Cernan is visible in right window)||
22866|149|view of LM ascent stage during jettison||J.L. Pickering
23188|151|Earthrise beyond the LM from the docked Command Module. This picture was taken during revolution 3.||
23201|151|Lunar Module viewed from Command Module||JSC scan
23274|152|Earthrise viewed from Apollo 17||
23391|152|retrieval of film canisters during SIM Bay EVA|17-Dec-72|
23401|152|SIM Bay EVA||J.L. Pickering
23818|157|(description not yet available)||research: Ed Hengeveld
23822|157|(description not yet available)||research: Ed Hengeveld
23849|157|(description not yet available)||research: Ed Hengeveld
23857|157|(description not yet available)||research: Ed Hengeveld
23858|157|(description not yet available)||research: Ed Hengeveld
23860|157|(description not yet available)||research: Ed Hengeveld
24035|162|(description not yet available)||JSC scan
24039|162|(description not yet available)||JSC scan
24043|162|(description not yet available)||JSC scan
24053|162|Gene Cernan (left) and Ron Evans in the Command Module during trans-Earth coast||research: Eric Jones
24126|163|(description not yet available)||JSC scan
24143|163|(description not yet available)||JSC scan
24149|163|Gene Cernan and Jack Schmitt photographed by Ron Evans during the lunar return trip||JSC scan
24150|163|(description not yet available)||JSC scan
24160|163|(description not yet available)||JSC scan
24171|163|(description not yet available)||JSC scan
24178|163|(description not yet available)||JSC scan
ENDOFANERA||"Grumman artwork ""Apollo 17 - End of an Era"""||J.L. Pickering
KSC-372C-351BW||Apollo 17 LM and CSM 114 docking test|2-May-72|J.L. Pickering
KSC-372C-448-10BW||crew poses on crawler during Apollo 17 rollout|28-Aug-72|J.L. Pickering
KSC-372C-448-54BW||(description not yet available)||J.L. Pickering
KSC-70PC-610BW||The Saturn V second (S-II) stage for Apollo 17 is offloaded from a barge at the turning basin near the Vehicle Assembly Building|27-Oct-70|J.L. Pickering
KSC-70PC-611BW||The Saturn V second (S-II) stage for Apollo 17 on a barge at Complex 39 turning basin prior to its move to the VAB|27-Oct-70|J.L. Pickering
KSC-72C-1084||Apollo 17 Command Module|30-Mar-72|J.L. Pickering
KSC-72C-3229||Apollo 17 rollout||J.L. Pickering
KSC-72C-5706BW||Apollo 17 LM-12 ALSEP closeout photo|5-Dec-72|J.L. Pickering
KSC-72P-184||S-IC stage for Apollo 17 is moved to VAB following arrival on barge Poseidon|11-May-72|J.L. Pickering
KSC-72P-202||Apollo 17 LRV being un-packed at KSC|5-Jun-72|J.L. Pickering
KSC-72P-208||Schmitt prepares for EVA training at KSC|8-Jun-72|J.L. Pickering
KSC-72P-212||Cernan and Schmitt ready a Lunar Roving Vehicle trainer following its deployment from a Lunar Module trainer in the Flight Crew Training Building at KSC|8-Jun-72|J.L. Pickering
KSC-72P-275||an overhead crane raises the Apollo 17 Saturn V first stage 16 stories above the VAB transfer aisle during erection activities|15-May-72|J.L. Pickering
KSC-72P-276||The Apollo 17 Saturn V first stage is prepared for lifting and erection within the Vehicle Assembly Building|15-May-72|J.L. Pickering
KSC-72P-292||Apollo 17 Mission Commander Eugene A. Cernan talks with pad leader Guenter Wendt prior to entering CM at start of seven-hour altitude chamber test|15-Jun-72|J.L. Pickering
KSC-72P-293||Apollo 17 Lunar Module Pilot Harrison H. Schmitt prepares to enter CM prior to altitude chamber test|15-Jun-72|J.L. Pickering
KSC-72P-301||The Apollo Saturn V Instrument Unit is hoisted for mating to the vehicle||J.L. Pickering
KSC-72P-303||Erection and mating of Apollo 17 Saturn V third stage|23-Jun-72|J.L. Pickering
KSC-72P-311||Ron Evans suited for Countdown Demonstration Test|21-Jul-72|Ed Hengeveld
KSC-72P-320||Cernan training at KSC with spectators looking on|24-Jul-72|J.L. Pickering
KSC-72P-334||Cernan and Schmitt in altitude chamber at KSC|4-Aug-72|J.L. Pickering
KSC-72P-336||Apollo 17 LMP Harrison Schmitt waves to technicians prior to entering LM at start of altitude chamber test|4-Aug-72|J.L. Pickering
KSC-72P-343||The KSC launch team continues the checkout of Apollo 17 flight hardware|9-Aug-72|J.L. Pickering
KSC-72P-357||Apollo 17 spacecraft is gently lowered down atop the Instrument Unit during mating operations|24-Aug-72|J.L. Pickering
KSC-72P-358||(description not yet available)|4-Aug-72|J.L. Pickering
KSC-72P-359||The Apollo 17 Lunar Module undergoes testing in the Manned Spacecraft Operations Building|4-Aug-72|J.L. Pickering
KSC-72P-360||Apollo 17 LM checkout at KSC|4-Aug-72|J.L. Pickering
KSC-72P-361||Schmitt (left) and Cernan (right) during a pre-test exercise on LRV in the high bay of the Manned Spacecraft Operations Building|9-Aug-72|J.L. Pickering
KSC-72P-362||Schmitt (left) and Cernan are seated on LRV during pre-test exercise in the high bay of the Manned Spacecraft Operations Building|9-Aug-72|J.L. Pickering
KSC-72P-363||The Apollo 17 prime crew perform test procedures in the Lunar Roving Vehicle (LRV) / Lunar Communications Relay Unit (LCRU) mission simulation.|4-Aug-72|J.L. Pickering
KSC-72P-366||The Apollo 17 space vehicle being moved from Vehicle Assembly Building to Pad A of Complex 39||J.L. Pickering
KSC-72P-373||The Apollo 17 space vehicle being moved from Vehicle Assembly Building to Pad A of Complex 39||J.L. Pickering
KSC-72P-377||Apollo 17 crew pose at Pad 39A on day of rollout||J.L. Pickering
KSC-72P-381||Apollo 17 crew pose at Pad 39A on day of rollout||J.L. Pickering
KSC-72P-394||Wayne Parris, a support operations engineer, managed Mobile Launcher and Mobile Service Structure operations at KSC's Complex 39|8-Sep-72|J.L. Pickering
KSC-72P-395||The KSC launch team continues the checkout of Apollo 17 flight hardware|9-Aug-72|J.L. Pickering
KSC-72P-438||The Apollo 17 crew EVA training at KSC|4-Aug-72|J.L. Pickering
KSC-72P-440||The Apollo 17 crew EVA training at KSC|4-Aug-72|J.L. Pickering
KSC-72P-441||The Apollo 17 Lunar Module undergoes testing prior to being enclosed in the adapter that will house it during the first four hours of flight to the Moon|16-Aug-72|J.L. Pickering
KSC-72P-443||Ron Evans leaning on simulator console|16-Aug-72|J.L. Pickering
KSC-72P-444||Apollo 17 Command Module Pilot Ronald E. Evans pauses on mission simulator steps during a training exercise designed to sharpen flying skills|16-Aug-72|J.L. Pickering
KSC-72P-445||Ron Evans activates onboard computer in spacecraft mission simulator|16-Aug-72|J.L. Pickering
KSC-72P-446||Ron Evans speaks with NASA Instructor-Operator at spacecraft mission simulator console|16-Aug-72|J.L. Pickering
KSC-72P-451||Ron Evans talks with McDonnell Douglas personnel inside the interstage joining the Apollo 17 Saturn V's second and third stage|15-Aug-72|J.L. Pickering
KSC-72P-452||Ron Evans and McDonnell Douglas personnel examine the Saturn V third stage's liquid hydrogen tank bulkhead|15-Aug-72|J.L. Pickering
KSC-72P-453||(description not yet available)|15-Aug-72|J.L. Pickering
KSC-72P-454||The Apollo 17 spacecraft (right) crosses paths with the S-IB booster intended for the first manned Skylab mission|23-Aug-72|J.L. Pickering
KSC-72P-466||Two M-113 personnel carriers used by Boeing emergency egress crew are parked at the base of the mobile launcher during simulation of an emergency at the launch pad|16-Oct-72|J.L. Pickering
KSC-72P-468||Banks of xenon searchlights surrounding Complex 39's Pad A light the Apollo 17 space vehicle and mobile launcher during emergency egress training|16-Oct-72|J.L. Pickering
KSC-72P-508||Astronaut Harrison H. Schmitt suits up in the astronaut quarters in preparation for the Countdown Demonstraction Test|21-Nov-72|J.L. Pickering
KSC-72P-511||Apollo 17 Commander Eugene Cernan suits up in preparation for Countdown Demonstration Test (CDDT)|21-Nov-72|J.L. Pickering
KSC-72P-512||Apollo 17 crew leaves MSOB for Countdown Demonstration Test|21-Nov-72|J.L. Pickering
KSC-72P-536||(description not yet available)||J.L. Pickering
KSC-72P-537||(description not yet available)|4-Dec-72|J.L. Pickering
KSC-72P-539||(description not yet available)|6-Dec-72|J.L. Pickering
KSC-72P-544||(description not yet available)|6-Dec-72|J.L. Pickering
KSC-72P-545||Technicians check Apollo 17 Mission Commander Eugene Cernan's spacesuit during preflight preparations|6-Dec-72|J.L. Pickering
KSC-72P-546||"Apollo 17 CMP Ronald Evans shakes hands with Donald K. ""Deke"" Slayton, Director of Flight Crew Operations at the Manned Spacecraft Center"|6-Dec-72|J.L. Pickering
KSC-72P-547||Alan Shepard jokes with Jack Schmitt during suitup|6-Dec-72|NASA
KSC-72PC-346||Gene Cernan during EVA training at KSC|8-Jun-72|Ed Hengeveld
KSC-72PC-347||Gene Cernan trains with drill at KSC|8-Jun-72|research: J.L. Pickering
KSC-72PC-378||Gene Cernan poses with his family and his daughter's friend during EVA training at KSC|4-Aug-72|
KSC-72PC-379||"Gene Cernan's wife Barbara and daughter Teresa (""Tracy"") observe Gene during lunar EVA training."|4-Aug-72|research: J.L. Pickering
KSC-72PC-381||"Gene Cernan relaxes with his nine-year-old daughter Teresa (""Tracy"")"|4-Aug-72|J.L. Pickering
KSC-72PC-386||Ron Evans enters the Command Module during an altitude chamber test|4-Aug-72|J.L. Pickering
KSC-72PC-411||Apollo 17 astronauts during final LRV fit check|9-Aug-72|
KSC-72PC-412||Apollo 17 astronauts during final LRV fit check|9-Aug-72|
KSC-72PC-415BW||Schmitt (left) and Cernan are seated on LRV during pre-test exercise in the high bay of the Manned Spacecraft Operations Building|9-Aug-72|J.L. Pickering
KSC-72PC-429||Apollo 17 on the crawlerway||research: J.L. Pickering
KSC-72PC-431||Apollo 17 Saturn V at pad 39A following rollout||research: J.L. Pickering
KSC-72PC-436||alternate portrait of Apollo 17 crew at pad 39A||research: J.L. Pickering
KSC-72PC-440||Apollo 17 Lunar Module Pilot Harrison H. Schmitt, left, scoops soil samples into a specimen bag held by Mission Commander Eugene A. Cernan during a mock lunar surface training exercise conducted at the Kennedy Space Center|24-Aug-72|research: J.L. Pickering
KSC-72PC-441||Apollo 17 rolls out of the VAB (Cernan in foreground)||
KSC-72PC-443||The Apollo 17 crew at pad 39-A on rollout day|28-Aug-72|J.L. Pickering
KSC-72PC-445||Apollo 17 Saturn V on pad 39-A with the Moon in the background||
KSC-72PC-459BW||Apollo 17 CMP Ronald E. Evans practices handing film cassette to LMP Harrison Schmitt, seated in spacecraft mockup housed within KC-135 aircraft during zero-gravity training|21-Sep-72|J.L. Pickering
KSC-72PC-498||Apollo LMP Jack Schmitt brushes off the boot of commander Gene Cernan during EVA training|24-Aug-72|J.L. Pickering
KSC-72PC-499||Apollo 17 Backup Mission Commander John Young speaks to suited prime crew astronauts Schmitt (left) and Cernan (right) who are seated in the Lunar Rover training vehicle|24-Aug-72|J.L. Pickering
KSC-72PC-502BW||Ron Evans reviews flight plan during solo training exercise in mission simulator|16-Aug-72|J.L. Pickering
KSC-72PC-503BW||Ron Evans conducts a guidance and navigation exercise in mission simulator|16-Aug-72|J.L. Pickering
KSC-72PC-508||Apollo 17 CM being moved to the VAB for stacking. Note Ron Evans behind the wheel of the transport truck.||J.L. Pickering
KSC-72PC-539||"Lunar Module Pilot Harrison ""Jack"" Schmitt in the LM simulator"|27-Oct-72|research: J.L. Pickering
KSC-72PC-540||Cernan and Schmitt in the LM simulator|27-Oct-72|research: J.L. Pickering
KSC-72PC-589||A dramatic photo of the Apollo 17 Saturn V on pad 39-A at dusk|22-Nov-72|J.L. Pickering
KSC-72PC-605||Eugene Cernan affixes the Apollo 17 insignia to a T-38 jet aircraft at Patrick Air Force Base just south of the Kennedy Space Center.|2-Dec-72|Ed Hengeveld
KSC-72PC-612||The Apollo 17 crew at the traditional pre-launch breakfast|6-Dec-72|
KSC-72PC-616||Ron Evans says goodbye to his wife as he and his crewmates leave the MSOB on their way to pad 39-A|6-Dec-72|
KSC-72PC-626||Closeout team members assist Ron Evans as he prepares to enter CM|7-Dec-72|
KSC-72PC-627||A closeout team member wishes Gene Cernan good luck as he prepares to enter the Command Module|7-Dec-72|
KSC-72PC-713||Apollo 17 on pad 39-A|21-Nov-72|
KSC-73P-62||Harrison Schmitt presents a replica of the plaque left on the Moon to the Kennedy Space Center team|20-Feb-73|J.L. Pickering
KSC-73PC-68||Gene Cernan signing autographs at VAB reception|20-Feb-73|J.L. Pickering
KSC-73PC-70||Gene Cernan hugs Guenter Wendt at a VAB reception|20-Feb-73|J.L. Pickering
S71-51273||portrait of Apollo 17 Command Module Pilot Ron Evans|1-Dec-71|
S71-51308||portrait of Apollo 17 Commander Gene Cernan|1-Dec-71|
S71-52260||"portrait of Apollo 17 Lunar Module Pilot Harrison ""Jack"" Schmitt"|1-Dec-71|
S72-35043||Gene Cernan during practice EVA, wearing Dave Scott's actual lunar EVA suit|13-Apr-72|Frederic Artner
S72-37253||pre-mission photo of the Lunar Surface Gravimeter (LSG), designed to detect gravity waves||research: Eric Jones
S72-37255||pre-mission photo of the Lunar Atmospheric Composition Experiment (LACE||research: Eric Jones
S72-37257||pre-mission photo of the Lunar Ejecta and Meteoroid Experiment (LEAM)||research: Eric Jones
S72-37259||pre-mission photo of the Geophone Module, containing four geophones deployed in an array at the ALSEP site to detect signals generated in the Lunar Seismic Profiling Experiment (LSPE)||research: Eric Jones
S72-37260||pre-mission photo of the heat flow pallet, which served double duty a base for the seismic array antenna||research: Eric Jones
S72-41012||Gene Cernan during Apollo 17 geology training|8-Jun-72|J.L. Pickering
S72-44420||Gene Cernan during Apollo 17 EVA training|8-Jun-72|
S72-48728||Apollo 17 Saturn V arrives at pad 39-A during rollout||Ed Hengeveld
S72-48729||The Apollo 17 Saturn V during rollout||
S72-48854||Cernan and Schmitt during geological training|6-Sep-72|
S72-48859||Jack Schmitt and Gene Cernan during geology training|6-Sep-72|
S72-48864||Jack Schmitt and Gene Cernan ride rover test vehicle during geology/EVA training|6-Sep-72|
S72-48887||Astronauts Cernan and Schmitt during lunar EVA training at KSC|13-Sep-72|Ed Hengeveld
S72-48888||Astronauts Cernan and Schmitt during lunar EVA training at KSC|13-Sep-72|
S72-48889||Astronauts Cernan and Schmitt on the Rover during EVA training at KSC|13-Sep-72|Ed Hengeveld
S72-48890||Schmitt stands at rear of LRV during training at KSC|13-Sep-72|Ed Hengeveld
S72-48891||Astronauts Schmitt and Cernan during EVA training at KSC|13-Sep-72|
S72-48892||Cernan and Schmitt during LRV training at KSC|13-Sep-72|Ed Hengeveld
S72-49482||Service Module SIM Bay cameras||research: Eric Jones
S72-50268||Harrison Schmitt during EVA training aboard zero-gravity training aircraft|30-Sep-72|Ed Hengeveld
S72-50269||Harrison Schmitt during EVA training aboard zero-gravity training aircraft|30-Sep-72|Ed Hengeveld
S72-50270||Gene Cernan during EVA training aboard zero-gravity training aircraft|30-Sep-72|Ed Hengeveld
S72-50271||Backup CMP Stu Roosa rehearses the SIM Bay EVA|30-Sep-72|Ed Hengeveld
S72-50438||Portait of Apollo 17 crew, posing with a LRV trainer. The Apollo 17 Saturn V is in the background.|10-Oct-72|
S72-53472||illustration showing operation of the Lunar Sounder||research: Eric Jones
S72-53950||Surface Electrical Properties (SEP) transmitter, with its solar panels deployed||research: Eric Jones
S72-53951||Surface Electrical Properties (SEP) receiver, which was mounted on the back of the Rover behind the LMP||research: Eric Jones
S72-53952||Inner workings of the Traverse Gravimeter Experiment (TGE||research: Eric Jones
S72-53953||TGE in its distinctive, blue container||research: Eric Jones
S72-54881||Gene Kranz briefing Neil Hutchinson and Gerald Griffin at Mission Contol during Apollo 17 launch delay|6-Dec-72|
S72-54999||Seismologist Maurice Ewing examining data from the Passive Seismic Experiment (PSE)||research: Eric Jones
S72-55170||(Left to Right) John Young, Charlie Duke, Deke Slayton, Rocco Petrone and Ron Blevins with the prototype replacement fender. Young performed suited simulations to ensure that the crew could install the fender on their Rover.||research: Eric Jones
S72-55482||Apollo 17 lifts off in the first night launch of a Saturn V|7-Dec-72|
S72-55775||CM open hatch during post flight inspection aboard Ticonderoga||J.L. Pickering
S72-55830||Apollo 17 Command Module descends on main chutes||J.L. Pickering
S72-55834||Apollo 17 CM nears splashdown|19-Dec-72|
S72-55837||view of main chutes and splashdown from helicopter||Ed Hengeveld
S72-55863||CM in water as divers attach flotation equipment||J.L. Pickering
S72-55864||CM in water as divers prepare for crew departure||J.L. Pickering
S72-55886||Apollo 17 CM aboard Ticonderoga||J.L. Pickering
S72-55888||CM close-up view of top||J.L. Pickering
S72-55889||CM on dolly aboard Ticonderoga||J.L. Pickering
S72-55898||CM in water awaiting pick-up||J.L. Pickering
S72-55911||Gene Cernan greeting visitors aboard Ticonderoga||J.L. Pickering
S72-55935||Apollo 17 crew walks from helicopter aboard Ticonderoga||J.L. Pickering
S72-55937||Gene Cernan waves as the Apollo 17 crew disembarks from recovery helicopter||Ed Hengeveld
S72-55966||CM being serviced aboard Ticonderoga||J.L. Pickering
S72-55974||Apollo 17 recovery operations|19-Dec-72|research: Hamish Lindsay
S72-56037||Gene Cernan having dinner aboard Ticonderoga||J.L. Pickering
S72-56040||Harrison Schmitt having dinner aboard Ticonderoga||J.L. Pickering
S72-56068||close-up of cake aboard Ticonderoga||J.L. Pickering
S72-56081||Apollo 17 crew prepares to cut ceremonial cake aboard the Ticonderoga||J.L. Pickering
S72-56147||U.S.S. Ticonderoga and recovery team await pickup of Apollo 17 command module after splashdown||
S72-56278||Apollo 17 CM is brought aboard the Ticonderoga||J.L. Pickering
S72-56362||Schmitt is seen during examination of returned lunar samples|27-Dec-72|Ed Hengeveld
S72-56465||CM in water awaiting pickup||J.L. Pickering
S73-38345||Gene Cernan and Jack Schmitt present flight controllers in Mission Control with U.S. flag carried to the Moon during mission|11-Dec-73|
S73-38346||Gene Cernan and Jack Schmitt present flight controllers in Mission Control with U.S. flag carried to the Moon during mission|11-Dec-73|
S77-28884||"Apollo 17 Command Module ""America"" on display"|1977|J.L. Pickering
S86-30759||Apollo 17 Command Module on display at JSC|1986|J.L. Pickering
